fecha,y,tiendas,m2
2021-07-16,9273978.17,2198,960919.77
2021-07-17,10512737.15,2256,989079.44
2021-07-18,2042994.83,692,278917.88
2021-07-19,9643854.49,2233,975874.42
2021-07-20,8777947.18,2242,978607.42
2021-07-21,8527039.51,2242,980965.37
2021-07-22,8594783.46,2227,974061.1
2021-07-23,9856458.66,2252,987027.18
2021-07-24,10589743.58,2255,989139.53
2021-07-25,2037234.13,697,282828.83
2021-07-26,9444724.94,2209,965198.5
2021-07-27,8766516.0,2252,984879.62
2021-07-28,8539700.79,2228,977515.83
2021-07-29,8773732.94,2249,985515.99
2021-07-30,9969439.1,2251,985815.49
2021-07-31,10485448.64,2193,964100.84
2021-08-01,2088515.23,724,296824.19
2021-08-02,9816788.59,2232,975040.12
2021-08-03,8795347.28,2232,971500.42
2021-08-04,9022281.41,2240,981291.91
2021-08-05,8871645.98,2224,973741.79
2021-08-06,9809108.75,2241,983294.25
2021-08-07,10360257.34,2254,988221.65
2021-08-08,1997157.35,693,281118.0
2021-08-09,9868022.94,2236,974352.91
2021-08-10,9142920.44,2231,973848.36
2021-08-11,8873503.69,2239,981393.8
2021-08-12,9006069.68,2235,979882.09
2021-08-13,9914159.19,2245,983352.59
2021-08-14,10824531.5,2253,987329.71
2021-08-15,2064539.54,674,274981.27
2021-08-16,7843345.89,1902,831869.16
2021-08-17,9899211.47,2223,972012.46
2021-08-18,8774766.82,2232,976685.91
2021-08-19,8496635.74,2208,965475.36
2021-08-20,9380298.0,2240,980719.27
2021-08-21,9955645.5,2250,987629.45
2021-08-22,1963297.84,686,278222.11
2021-08-23,9566609.16,2225,973375.86
2021-08-24,8720306.13,2215,971272.58
2021-08-25,8654532.88,2236,980070.93
2021-08-26,8460959.94,2241,983096.77
2021-08-27,9389306.16,2243,982653.3
2021-08-28,9725299.32,2220,971433.05
2021-08-29,1993865.68,693,279383.25
2021-08-30,9169742.25,2217,967502.66
2021-08-31,8756897.12,2231,973185.54
2021-09-01,8390051.79,2235,976238.66
2021-09-02,8223386.0,2214,968895.75
2021-09-03,9156460.12,2244,984501.5
2021-09-04,9875572.7,2249,986915.42
2021-09-05,1983317.86,733,299633.59
2021-09-06,9111216.07,2205,962865.11
2021-09-07,8923683.48,2236,976762.03
2021-09-08,6834109.09,1847,794790.17
2021-09-09,8480003.09,2210,967047.75
2021-09-10,9377712.74,2237,979877.75
2021-09-11,9465960.72,2137,938063.69
2021-09-12,1959353.8,673,269302.68
2021-09-13,9342033.25,2207,965097.9
2021-09-14,7892056.49,2173,949857.13
2021-09-15,7915926.94,2183,959365.55
2021-09-16,7848803.98,2221,974607.46
2021-09-17,8736362.91,2231,976027.98
2021-09-18,9508550.18,2249,986520.82
2021-09-19,1782177.07,645,252994.35
2021-09-20,8656794.52,2209,963953.62
2021-09-21,7875062.83,2207,962795.94
2021-09-22,7775226.76,2233,978604.3
2021-09-23,7799081.05,2221,973867.98
2021-09-24,8965701.61,2183,956059.86
2021-09-25,9872619.66,2245,985691.65
2021-09-26,1771280.54,643,251466.67
2021-09-27,8877800.01,2207,967538.22
2021-09-28,8203784.42,2224,974435.12
2021-09-29,8008587.85,2196,963295.18
2021-09-30,8336937.57,2228,977795.97
2021-10-01,9221162.43,2234,980318.33
2021-10-02,9882451.77,2245,985995.58
2021-10-03,1797816.23,637,248439.92
2021-10-04,8946268.96,2223,970831.41
2021-10-05,8274724.13,2218,967891.59
2021-10-06,8017982.08,2232,978984.41
2021-10-07,7827917.99,2189,960338.71
2021-10-08,9232146.04,2244,986060.56
2021-10-09,9435249.2,2146,940638.71
2021-10-10,1840293.72,676,267362.62
2021-10-11,10111511.96,2229,975617.6
2021-10-12,1674326.93,745,297259.2
2021-10-13,9542504.03,2237,980764.35
2021-10-14,8380649.27,2228,978040.58
2021-10-15,9076665.13,2237,981561.96
2021-10-16,9581154.34,2244,985791.91
2021-10-17,1744542.27,633,247793.1
2021-10-18,8588144.79,2209,965602.34
2021-10-19,7924859.45,2224,970005.17
2021-10-20,7704584.38,2228,977430.84
2021-10-21,7759784.71,2232,978931.13
2021-10-22,8890193.52,2245,985151.97
2021-10-23,9462374.0,2246,987385.77
2021-10-24,1844747.45,633,248290.28
2021-10-25,8935648.69,2203,966168.73
2021-10-26,8148132.79,2227,977867.75
2021-10-27,8169729.12,2226,978373.81
2021-10-28,8448876.15,2227,978434.5
2021-10-29,9997102.58,2240,982831.25
2021-10-30,11099877.18,2246,986089.49
2021-10-31,2051454.11,664,259813.79
2021-11-01,3584021.05,1411,634630.64
2021-11-02,9986295.1,2235,977744.14
2021-11-03,8713826.91,2241,979770.58
2021-11-04,8377329.1,2228,978205.08
2021-11-05,9375347.48,2250,986748.75
2021-11-06,9936398.12,2247,986569.83
2021-11-07,1754698.06,642,249795.41
2021-11-08,8791434.89,2232,976533.29
2021-11-09,7778273.16,2226,976529.24
2021-11-10,7904359.64,2236,980349.47
2021-11-11,7861552.06,2221,975039.24
2021-11-12,9005591.69,2251,986578.3
2021-11-13,9529689.26,2245,986189.71
2021-11-14,1766819.43,639,248433.13
2021-11-15,8617877.29,2239,979272.04
2021-11-16,7879059.91,2242,979900.57
2021-11-17,7994416.94,2238,981184.17
2021-11-18,7957458.13,2237,982049.46
2021-11-19,9211628.18,2253,988101.97
2021-11-20,9755065.48,2253,989228.69
2021-11-21,1811265.51,642,250542.52
2021-11-22,8649668.15,2241,981990.94
2021-11-23,7936478.52,2240,981592.66
2021-11-24,7933855.34,2243,983756.41
2021-11-25,8187190.63,2241,985398.62
2021-11-26,9153903.41,2256,990395.85
2021-11-27,9655458.19,2251,989237.27
2021-11-28,1976997.29,838,356960.42
2021-11-29,8700851.26,2246,983146.41
2021-11-30,8430715.3,2245,981404.59
2021-12-01,8148068.1,2252,987055.68
2021-12-02,8387897.01,2252,989274.12
2021-12-03,9414739.56,2241,984636.9
2021-12-04,10642240.76,2260,992081.79
2021-12-05,2867888.23,1412,637515.13
2021-12-06,2800875.81,1183,490489.47
2021-12-07,10984442.96,2258,989460.93
2021-12-08,2936687.62,1396,616537.15
2021-12-09,9668520.19,2266,993705.53
2021-12-10,9402011.71,2260,990346.72
2021-12-11,9649954.84,2265,994787.31
2021-12-12,2025217.91,972,416879.2
2021-12-13,8753259.49,2273,993882.57
2021-12-14,8091108.6,2270,992799.43
2021-12-15,4788415.57,2263,992661.6
2021-12-16,9056060.9,2267,994621.16
2021-12-17,9234352.47,2262,993371.54
2021-12-18,9663914.6,2267,995640.37
2021-12-19,2231820.81,1131,498107.42
2021-12-20,8894800.17,2273,992964.09
2021-12-21,8787502.05,2281,996639.56
2021-12-22,8679445.71,2277,996924.77
2021-12-23,10395222.18,2274,997519.88
2021-12-24,9422832.16,2273,997032.09
2021-12-25,21941.63,17,5391.51
2021-12-26,2165661.49,885,378440.75
2021-12-27,8949313.22,2264,993350.34
2021-12-28,8104209.65,2268,995315.98
2021-12-29,8601821.34,2266,994432.16
2021-12-30,10204000.04,2270,996613.89
2021-12-31,9302232.46,2267,995166.54
